"ID"	"GRDC-ID"	"RiverName"	"StationName"	"Country"	"Area"	"StartMonth"	"StartYear"	"EndMonth"	"EndYear"	"TimeSeries"	"PercentRecord"	"GRDC663"	"LonDD"	"LatDD"
1	"1112100"	"SENEGAL"	"KAYES"	"MI"	157400.000000	6	1951	12	1990	"M"	0.000000	0	-12.450000	14.450000
2	"1112200"	"FALEME"	"GOURBASSY"	"MI"	15000.000000	4	1954	12	1990	"M"	0.000000	1	-11.380000	13.230000
3	"1112300"	"SENEGAL"	"GALOUGO"	"MI"	127000.000000	5	1905	12	1990	"M"	35.000000	1	-11.130000	13.830000
4	"1112320"	"BAKOYE"	"OUALIA"	"MI"	84400.000000	5	1951	12	1990	"M"	29.200001	1	-19.230000	13.360000
5	"1112340"	"BAKOYE"	"TOUKOTO"	"MI"	16000.000000	5	1952	12	1990	"M"	41.599998	1	-9.880000	13.450000
6	"1112480"	"BAFING"	"DAKA SAYDOU"	"MI"	15500.000000	5	1952	12	1990	"M"	27.400000	0	-10.200000	12.150000
7	"1112500"	"BAFING"	"BAFING MAKANA"	"MI"	21700.000000	1	1981	12	1990	"M"	70.000000	0	-10.160000	12.330000
8	"1134040"	"SANKARANI"	"GOUALA"	"MI"	35300.000000	4	1954	12	1990	"M"	38.099998	0	-8.230000	11.970000
9	"1134050"	"SANKARANI"	"SELINGUE"	"MI"	34200.000000	7	1964	12	1990	"M"	3.800000	1	-8.170000	11.580000
10	"1134100"	"NIGER"	"KOULIKORO"	"MI"	120000.000000	1	1907	12	1990	"M"	0.000000	1	-7.550000	12.870000
11	"1134110"	"BAOULE"	"BOUGOUNI"	"MI"	15700.000000	5	1956	12	1992	"M"	30.000000	1	-7.450000	11.400000
12	"1134200"	"BAOULE"	"DIOILA"	"MI"	32500.000000	6	1953	12	1990	"M"	8.200000	1	-6.800000	12.520000
13	"1134220"	"BAGOE"	"PANKOUROU"	"MI"	31800.000000	6	1956	12	1992	"M"	3.200000	1	-6.570000	11.420000
14	"1134250"	"NIGER"	"KIRANGO AVAL"	"MI"	137000.000000	1	1925	12	1992	"M"	19.200001	1	-6.050000	13.720000
15	"1134300"	"BANI"	"DOUNA"	"MI"	101600.000000	5	1922	12	1994	"M"	23.299999	1	-5.900000	13.220000
16	"1134500"	"NIGER"	"MOPTI"	"MI"	281600.000000	6	1922	12	1990	"M"	34.400002	1	-4.220000	14.530000
17	"1134700"	"NIGER"	"DIRE"	"MI"	340000.000000	1	1924	12	1992	"M"	1.600000	1	-3.380000	16.270000
18	"1134730"	"NIGER"	"KORYOUME"	"MI"	342000.000000	8	1963	12	1992	"M"	62.299999	0	-3.030000	16.670000
19	"1134850"	"NIGER"	"TOSSAYE"	"MI"	348000.000000	6	1954	12	1992	"M"	32.599998	0	-0.580000	16.930000
20	"1134900"	"NIGER"	"ANSONGO"	"MI"	566000.000000	1	1951	12	1992	"M"	9.300000	1	0.500000	15.670000
21	"1234150"	"NIGER"	"NIAMEY"	"NR"	700000.000000	1	1929	9	1991	"M"	20.700001	1	2.080000	13.520000
22	"1234250"	"NIGER"	"GAYA"	"NR"	1000000.000000	7	1952	9	1990	"M"	19.600000	0	3.400000	11.880000
23	"1237500"	"KOMADOUGOU YOBE"	"BAGARA DIFFA"	"NR"	115000.000000	6	1967	5	1991	"M"	0.000000	1	12.600000	13.280000
24	"1428400"	"COMOE"	"ANIASSUE"	"IV"	67400.000000	1	1980	12	1994	"M"	4.400000	1	-3.720000	6.620000
25	"1537100"	"CHARI"	"NDJAMENA(FORT LAMY)"	"CD"	600000.000000	5	1933	6	1991	"M"	11.600000	1	15.030000	12.120000
26	"1731400"	"PENDJARI"	"PORGA"	"BJ"	22280.000000	6	1952	12	1992	"M"	23.400000	1	0.970000	11.050000
27	"1732100"	"MONO"	"ATHIEME"	"BJ"	21575.000000	8	1944	12	1992	"M"	28.900000	1	1.670000	6.920000
